no	tempo	potencia	taxaMAC
5	1,2643731951	-10	40
3	1,710886917987	-15	80
1	1,713933806866	-12	60
4	1,73010543602	-10	60
2	1,741042070052	-12	50
5	1,761354282718	-10	50
4	1,953401280488	-10	80
5	2,211696434606	-10	80
3	2,430695734211	-20	90
5	2,438898750349	-10	90
1	2,441633169134	-12	50
4	2,457961021149	-10	60
2	2,676960283244	-15	90
5	2,705787201377	-10	90
5	2,930333307134	-10	80
3	2,932990284476	-15	80
1	2,94705244765	-15	70
4	3,151051435446	-10	40
5	3,20409664702	-10	40
2	3,426142694324	-15	80
5	3,432236400105	-10	60
1	3,638658326563	-12	60
4	3,654204929293	-10	40
3	3,667486676615	-12	20
3	3,90211041417	-15	70
4	3,922968938331	-10	80
5	4,11860875635	-10	60
1	4,350732785927	-12	60
3	4,353623399	-20	60
2	4,357717203224	-20	90
4	4,380420035315	-10	70
5	4,387606666272	-10	70
4	4,612387629318	-10	80
3	4,830995949334	-15	80
5	4,835058487086	-10	60
1	4,860995778961	-10	30
5	4,881697457737	-10	90
4	5,077338407784	-10	60
2	5,100149736555	-15	70
5	5,31704049475	-10	70
5	5,562601333569	-10	90
4	5,572054669809	-10	90
3	5,589945521675	-15	70
2	5,796756730129	-12	50
1	5,803084806606	-12	80
4	5,837302932456	-10	70
5	5,843395733911	-10	70
3	6,054974223976	-15	70
4	6,273660428305	-10	70
3	6,327332658465	-15	70
1	6,514221707209	-12	60
5	6,533127589079	-10	70
2	6,546095199251	-15	70
4	6,554768022895	-10	80
5	6,78868830611	-10	80
3	6,795486331555	-20	50
1	7,011203616298	-10	40
4	7,024797025481	-10	70
5	7,231608700084	-10	70
3	7,244577496527	-15	70
2	7,25395216885	-15	70
1	7,485451146762	-12	50
4	7,497872719304	-10	50
4	7,727652889035	-10	90
5	7,73960533655	-10	60
4	7,986338869965	-10	60
5	7,989541493158	-10	90
1	8,190885006092	-12	60
3	8,197291281246	-15	70
2	8,197478781246	-15	70
4	8,240962428854	-10	60
3	8,452305757515	-20	90
5	8,477694897916	-10	50
4	8,673960639912	-10	70
2	8,69161590956	-12	60
4	8,913662568075	-10	90
1	8,921240706109	-12	50
5	8,930068371378	-10	60
3	9,150942590116	-15	70
5	9,185160306884	-10	70
4	9,207191797464	-10	60
1	9,41197253243	-10	40
3	9,417832131428	-20	60
5	9,439705504549	-10	80
2	9,633033898476	-15	80
4	9,647064944676	-10	70
3	9,874657654841	-20	50
1	9,891298151241	-12	60
5	9,902156773345	-10	70
4	9,90512594788	-10	80
5	10,139749383537	-10	80
4	10,351092703057	-10	40
2	10,356717485683	-12	60
5	10,373279633446	-10	60
3	10,406093000773	-20	60
1	10,609544486775	-15	70
4	10,61274744869	-10	70
5	10,632121395175	-10	50
3	10,874168580419	-20	60
5	10,887526144196	-10	90
4	11,07371402478	-10	60
1	11,076214001128	-12	40
4	11,317165840826	-10	80
3	11,333681404948	-20	60
2	11,339430338311	-15	90
5	11,57796086114	-10	60
4	11,607023314757	-10	70
1	11,809725374427	-15	70
3	11,820944775322	-15	80
5	11,836021567935	-10	80
4	12,034162192396	-10	40
2	12,075176257143	-12	60
3	12,281129713567	-20	60
5	12,296363556305	-10	80
5	12,538487274238	-10	50
3	12,751549161863	-15	80
1	12,754127294369	-15	80
4	12,776705108616	-10	40
2	12,787797847974	-15	70
5	12,790766705487	-10	70
3	13,246265517306	-15	70
4	13,249624621491	-10	90
5	13,256264790491	-10	70
2	13,493700585421	-15	70
4	13,49698264114	-10	70
5	13,516278640198	-10	80
1	13,742465921604	-15	80
4	13,747700261867	-10	80
5	13,757152198825	-10	80
3	13,759966416459	-12	40
4	14,003964429049	-10	90
5	14,203698004918	-10	50
1	14,207260452082	-15	70
5	14,436337421798	-10	90
2	14,45211770216	-15	80
4	14,467118237853	-10	70
3	14,471415747643	-12	50
5	14,688851343056	-10	80
3	14,916131848725	-15	80
4	14,918866168633	-10	40
1	14,95074099183	-12	60
5	14,967926946516	-10	40
2	15,154349343781	-15	70
3	15,195834012438	-20	50
4	15,39756692928	-10	60
5	15,405457687978	-10	70
3	15,430050031516	-20	60
5	15,633675132408	-10	80
2	15,640159187036	-12	50
1	15,674612293368	-12	60
4	15,68492429147	-10	80
5	15,903219969387	-10	80
1	16,115344453083	-10	20
4	16,143234642062	-10	80
5	16,158858916192	-10	70
4	16,383483450794	-10	80
2	16,605450704552	-15	80
3	16,618138780894	-20	60
5	16,633028342066	-10	60
1	16,831481409439	-12	90
3	16,851637773723	-20	90
4	16,876090243159	-10	90
5	17,071495812928	-10	80
3	17,124025532622	-15	70
5	17,314275826696	-10	90
4	17,33068177326	-10	70
2	17,343306050361	-15	70
1	17,556993343521	-15	70
5	17,571164436925	-10	80
4	17,578086764011	-10	80
3	17,823054268911	-15	70
5	17,82638169778	-10	80
4	17,841304043944	-10	90
2	18,073426697383	-15	70
1	18,079053071221	-12	50
4	18,278364579408	-10	70
5	18,318363715664	-10	80
3	18,516113426096	-20	50
4	18,528847563609	-10	70
4	18,77737774205	-10	90
1	18,786752596907	-12	60
3	18,793003067472	-15	70
5	18,80198587553	-10	80
2	19,033171607759	-15	80
5	19,048093535702	-10	80
3	19,237640982011	-15	80
4	19,267796755991	-10	70
1	19,480233511057	-15	70
5	19,497732698049	-10	80
3	19,515077520782	-20	50
4	19,522342181712	-10	80
2	19,971746326958	-20	100
4	19,976355772391	-10	70
5	19,981902600134	-10	70
1	20,208010997794	-15	80
3	20,214808069491	-20	60
5	20,22597877606	-10	90
4	20,240276075603	-10	50
4	20,464431298788	-10	90
2	20,68530568169	-15	30
5	20,696789279289	-10	70
3	20,699633287091	-15	20
4	20,71132069577	-10	80
3	20,964647311344	-15	80
5	20,967271321857	-10	40
1	21,15189679941	-12	50
4	21,157756215643	-10	60
2	21,175724056107	-12	60
3	21,405739332393	-20	60
4	21,423082689038	-10	70
5	21,647863132175	-10	80
3	21,675363333147	-15	40
2	21,871705620958	-15	70
4	21,874861762423	-10	80
5	21,917173266518	-10	90
1	22,139844902583	-15	90
4	22,167735092377	-10	90
3	22,376890780346	-20	60
5	22,382905325736	-10	80
2	22,592373842771	-20	90
3	22,618077076007	-15	80
4	22,62417022342	-10	50
5	22,640575408773	-10	90
1	22,643154732266	-12	60
4	22,886215575048	-10	80
3	23,0789651266	-20	60
5	23,102636015549	-10	70
